designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 6083698819765072128",6083698819765072128,201.7119069225182,-47.49157893611374,,,,,15.026456,0.6232786,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698819765072896",6083698819765072896,201.7113177226618,-47.49391371868068,0.013071731508077,-2.5594886804309454,-7.3573262195221,1.4002984,14.391673,1.1945877,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698819765074304",6083698819765074304,201.71298856880125,-47.491857587544104,,,,,14.122861,1.1614828,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698819765074560",6083698819765074560,201.71309927706892,-47.48848395088332,0.15715867634756442,-3.9934284381385083,-7.352142865134979,1.1095583,11.851944,1.513895,234.2534,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698819765074688",6083698819765074688,201.7132252315233,-47.493286931675115,,,,,14.470437,1.169342,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698819765075584",6083698819765075584,201.71363795066037,-47.48620509931773,,,,,15.770606,0.9234829,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698819765076864",6083698819765076864,201.71525139025832,-47.48791236708322,,,,,17.184353,1.1121244,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698819765079808",6083698819765079808,201.71727173344237,-47.489214817880466,,,,,14.783276,1.108778,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824063469056",6083698824063469056,201.70578703526763,-47.4909247591732,,,,,15.657692,0.71899986,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824063507712",6083698824063507712,201.70953946519256,-47.487811670101685,,,,,16.103523,1.0065069,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824063508992",6083698824063508992,201.7101620908354,-47.48813528822525,,,,,15.721727,1.0304785,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824063517184",6083698824063517184,201.71174681938737,-47.487906222916536,,,,,16.131865,1.1075821,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824063530880",6083698824063530880,201.71338243941813,-47.487038562218906,,,,,16.836857,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824063531008",6083698824063531008,201.71399137424268,-47.486611505222974,,,,,15.319406,1.0835934,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824063566976",6083698824063566976,201.71690889497484,-47.48430984530326,,,,,16.97177,0.89745903,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824063568640",6083698824063568640,201.71613014073847,-47.483228693912764,0.6521118626630722,-3.8329952110614496,-6.707812771855529,1.9467511,15.044961,1.0736198,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,7985.7,3.4855,-0.7591,3372.9646,2.1329,1.833,0.9971
"Gaia DR3 6083698824063572096",6083698824063572096,201.71779316591352,-47.4841254392917,,,,,14.842356,1.0686483,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824064895872",6083698824064895872,201.70484818415383,-47.4980953604441,,,,,14.363958,1.145875,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824064905984",6083698824064905984,201.70337196548644,-47.49414577354615,-1.0319705723028785,-3.137737854316165,-7.124603035515662,9.593779,14.206612,1.1628256,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698824064908544",6083698824064908544,201.7082366553339,-47.4967512059341,,,,,15.143203,1.0176077,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824064908928",6083698824064908928,201.70722289257913,-47.49695336581697,,,,,15.620167,1.0200691,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824064918912",6083698824064918912,201.70691676154146,-47.49350284719015,,,,,16.044529,1.0002327,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824064923392",6083698824064923392,201.71035381024018,-47.495490454319814,,,,,15.693721,1.1190681,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824064923520",6083698824064923520,201.7106776183002,-47.495427335211716,,,,,15.155559,1.0542288,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824064923904",6083698824064923904,201.70847854743315,-47.492779534522334,,,,,15.696291,1.0375214,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824064924032",6083698824064924032,201.70803970384526,-47.493210101963605,,,,,15.424705,1.0525494,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824064936192",6083698824064936192,201.7120449815133,-47.493837890213825,,,,,16.341034,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698824064938624",6083698824064938624,201.71120273086024,-47.49224188112962,,,,,14.697329,1.1167898,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
